"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
4250,2.3540605670993884e-10,8.9255936465396477e-11,1.90461324047858e-10
4300,2.9481774300648005e-10,1.3020982264863944e-10,1.6694461058097447e-10
4350,2.324953305678657e-10,1.0710256620487531e-10,2.3982858875903052e-10
4400,1.8590656311938333e-10,1.9612100326075246e-10,3.6322137578628674e-11
4450,5.9612775685121112e-11,2.1299623991251639e-10,1.5371910868154656e-10
4500,1.0261968621499983e-05,1.026186673093868e-05,1.0262018574375247e-05
4550,1.4726982869312747e-10,1.0812543640032593e-10,1.1548907292542463e-10
4600,0.0014785305728947113,0.0014785303879888158,0.0014785304553632001
4650,4.1356978440178476e-11,1.5769815147945273e-10,1.9894384978733093e-10
4700,1.2698492117274939e-11,7.6045691793706977e-11,6.4812700245222954e-11
4750,1.4920708981878252e-10,7.0220528883463518e-11,9.0083765075753869e-11
4800,6.1731369343681353,6.1731369344344458,6.1731369341984985
4850,4.3343328127599328e-11,1.1268538160759445e-10,1.0716189632476473e-10
4900,110.1341787010637,110.13417870119039,110.13417870114299
4950,1.2263375643978176e-10,1.3771256788464785e-10,1.2086746939281546e-10
5000,1.8049299596883211e-10,1.3105281537472919e-10,5.870580506154716e-11
5050,1.3785629079297403e-10,5.0317351372663836e-11,9.8089970760969486e-11
5100,110.13417870114425,110.13417870098651,110.13417870115975
5150,2.2460871425434267e-10,2.1993029970432644e-10,1.4732949313158004e-10
5200,6.1731369342707412,6.1731369344411409,6.1731369342869717
5250,5.7277361361437548e-11,1.9695509684659086e-11,4.3046527221941271e-11
5300,2.0776835234877815e-10,6.8175802143187236e-11,1.4001873649906127e-10
5350,4.2637718648253402e-11,1.1013632116333852e-10,1.305799949511873e-10
5400,0.0014785305077309398,0.0014785305227422332,0.0014785305110499043
5450,6.5510195319880738e-11,2.0988460771656207e-10,1.6506368470330797e-10
5500,1.0261978008664409e-05,1.0262089702548704e-05,1.0261982195003734e-05
5550,1.3772107519316099e-10,1.564563454592371e-10,6.7213178128856353e-11
5600,1.6111164097604e-11,9.7391149341327456e-11,1.1250322027642732e-10
5650,1.897215748092779e-10,1.7909782721766454e-10,2.2139716410134425e-10
5700,3.1069111296934516e-10,9.0369818373203386e-11,2.4936089091227458e-10
5750,1.9411281669052592e-10,2.5108361495157173e-11,1.9073613710192203e-10
5800,9.5019785515076279e-11,1.5121134565173398e-10,1.9533373050046307e-10
5850,2.005041572443682e-10,2.1313103661988067e-10,1.0510650211067049e-10
5900,6.8887963198717102e-11,1.7994405398242632e-10,1.3098546056503381e-10
5950,1.8257005457495917e-10,2.1328547367265868e-10,2.1277779679723529e-10
6000,1.8922207792828765e-10,1.6819692339053615e-10,2.6119925340720239e-10
6050,4.567495363565328e-11,6.2829805655476001e-11,1.0848222420533678e-10
6100,1.6778121558916071e-10,4.84692535769781e-11,2.0955988287012718e-10
6150,5.3065895869974879e-11,1.2627415557704825e-10,7.6501757529300564e-11
6200,7.7510853905900296e-11,4.9921956396880914e-11,3.9607914413310387e-11
6250,1.5892491293890609e-10,1.7815273174782722e-11,1.5753316867670562e-10
6300,3.3441414751093585e-11,7.6305905132191631e-11,9.8955840195475163e-11
6350,1.9206727772181661e-10,1.3886275414193222e-10,5.3335303037969842e-11
6400,2.0536757741052612e-10,2.5147934276064297e-10,7.9121978122119115e-11
6450,1.0415988199395168e-10,1.2578907704923135e-10,1.7969258171566404e-10
6500,6.0718107919627246e-11,1.5861635785509685e-10,1.480000171774575e-10
6550,2.0898033142429405e-10,1.2839159424913319e-10,8.8918483155810595e-11
6600,1.1892195473105444e-10,7.6330934509721753e-11,7.4808266554137035e-11
6650,1.2181251174222425e-10,1.784326773518203e-10,8.6049770851726602e-11
6700,1.2437847197951912e-10,2.5088276366320208e-10,1.3941884381150635e-10
6750,4.6178322542294708e-11,6.9551859464668297e-11,8.1973816983382887e-11
6800,1.0971973906931191e-10,1.1473923184031626e-10,4.5487577643831015e-11
6850,1.5560972843059566e-10,1.9809184286227091e-10,7.0325678207750124e-11
6900,3.3025126934778793e-10,9.3049815680610213e-11,2.4077301498005557e-10
6950,6.6613258466550128e-11,1.6535512716474374e-10,2.3015824562368971e-10
7000,1.2512219777137932e-10,8.1652861037174906e-11,2.054810697301198e-10
7050,1.7370037299013526e-10,1.4119123915933275e-10,3.1488457998356876e-10
7100,1.2138679517967883e-10,6.7900517921669131e-11,6.0833134530710355e-11
7150,2.1477677023746679e-10,1.8898236042679593e-10,9.9794019258252701e-11
7200,1.8475993495594008e-10,1.4503489218096119e-10,1.8279471817405529e-10
7250,1.1982230273913094e-10,6.2073403009593387e-11,1.0764642264449639e-10
7300,7.7868567050045905e-11,2.1313279950264559e-10,2.0045874739020793e-10
7350,2.9657995693610001e-10,2.1316899293180579e-10,3.2467619593305385e-10
7400,9.6136748516958027e-11,1.3650502403025413e-10,5.3652863580668811e-11
7450,2.1860051652736813e-10,7.3134184577161223e-11,2.5880807661161441e-10
7500,1.9970011755797985e-10,1.4987321651049422e-10,3.3912886594578674e-10
7550,2.7484431056323511e-10,2.0827222587669754e-10,1.217347130319215e-10
7600,1.5065770252605053e-10,1.5221000493342311e-10,9.7027024092774174e-11
7650,1.4729050051660076e-10,1.0044989615235022e-10,2.0635510588489407e-10
7700,2.4924797229042165e-10,1.2712497767899306e-10,1.5707426244346013e-10
7750,1.6539086392585599e-10,3.4835806170737828e-11,1.3404686825171501e-10
7800,3.3143254649612589e-10,2.4560817451264408e-10,2.5866720833129777e-10
7850,9.4646611225877569e-11,1.0704022042898181e-10,1.410797189954148e-10
7900,1.6487165337975274e-10,9.7161905864505572e-11,2.4978699167428486e-10
7950,3.0299866164035294e-10,5.9262757477954218e-11,2.5949902466224244e-10
8000,7.928533677495451e-11,5.6796099988492565e-11,7.1432894231608202e-11
8050,8.4624752579089363e-11,5.3152212378826693e-11,9.303084967482955e-11
8100,7.3900644461258213e-11,5.3314371553537961e-11,7.5077358850993592e-11
8150,3.6383847881535664e-11,5.9970193812328833e-11,6.6010514345463e-11
8200,3.2599336579515816e-11,1.0423394552551194e-11,3.4617457887413499e-11
8250,1.1581235444109723e-10,1.4696965850885327e-10,5.972962242572781e-11
8300,7.5788033251654514e-11,1.2452701028388808e-10,7.5834667401019097e-11
8350,4.3916220853738898e-11,6.8049597197058637e-11,1.1188266075047546e-10
8400,6.2495300035560163e-11,7.8917727146233652e-11,1.3483888382522097e-10
8450,1.2147092956910262e-10,2.4768042590122243e-10,1.4890552185624944e-10
8500,1.0564370824744887e-10,1.2591766655741104e-10,2.0938932320746024e-11
8550,1.5027375568017787e-10,1.1004531106871626e-10,6.4460621262123551e-11
8600,1.3474675711540409e-10,1.7245985842813219e-10,1.9251237981735805e-10
8650,1.296494014066091e-10,1.6902378067560572e-10,1.5525417468061057e-10
8700,9.3227097470596617e-11,1.562352055581865e-10,6.3009060104019356e-11
8750,2.5277654829454834e-10,6.9937862059482661e-11,2.3842819241415699e-10
8800,1.6341762078163627e-10,1.7060071424271327e-10,4.5139525914604384e-11
8850,1.076438302404897e-10,2.1352794781807224e-10,1.0589986057103199e-10
8900,6.3918862759988628e-11,7.1134787801642957e-11,1.0128482503259466e-10
8950,1.3439460698347783e-10,7.3056223238810263e-11,6.3686376376155101e-11
9000,1.3308774431581021e-10,1.6950998676599602e-10,1.0093856510706317e-10
9050,1.869286219273907e-11,1.8724085647946709e-10,1.7651472120124428e-10
9100,1.9723162638194219e-10,6.442841971018954e-11,1.7163954310447804e-10
9150,1.2667029105005182e-09,1.1451220401904148e-09,1.3633049290728774e-09
9200,1.2791291444587105e-10,1.1596215365652701e-10,2.3268885305737715e-10
9250,4.1025600825666826e-11,1.0893316167678154e-10,1.2285734141506071e-10
9300,1.0787387243389698e-10,1.0609364363200243e-10,5.1771951813540412e-11
9350,1.051362960728008e-05,1.0513480660151555e-05,1.051365028419104e-05
9400,1.3835011893119875e-10,1.3050939537034498e-10,1.0520166863410039e-10
