"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
6750,1.7530636769003589e-10,7.4478185048746506e-11,2.3288253909160744e-10
6800,2.3309601777492557e-10,1.9451081566506339e-10,1.1440043774234206e-10
6850,7.6422013975669328e-11,1.4814054701848814e-10,2.2421333953055542e-10
6900,9.0063193719545957e-11,1.0079424795344562e-10,1.5615436760245846e-10
6950,2.0103356556238657e-10,9.3538821134784278e-11,1.5071203237470168e-10
7000,1.507770868456138e-10,2.2066820129735014e-10,8.6943958715685516e-11
7050,1.4501259332914984e-10,1.6841514696733445e-10,1.1929554221556209e-10
7100,1.1595215223464348e-10,3.514166477502149e-11,9.8462111624877825e-11
7150,1.0142684975339855e-10,1.2706401213232849e-10,1.7994224983218999e-10
7200,1.5706601265792476e-10,1.7815734811309454e-10,1.867848157384371e-10
7250,1.4738951246453137e-10,1.6171835858774169e-10,1.8646134250510699e-10
7300,1.4644999098512295e-10,1.0677874992539603e-10,1.1520478296360995e-10
7350,1.1434044910810012e-10,6.1249322989008332e-11,7.7024293795668352e-11
7400,8.3578415244082833e-11,1.4738404416773002e-10,2.2825196714377042e-10
7450,1.2763917054970893e-10,1.5626902304826284e-10,2.1274006954658049e-10
7500,1.0988703468956344e-10,4.6885224655699016e-11,1.1566215849264116e-10
7550,6.4403630228885884e-11,1.2977059329631947e-10,1.6117470337478065e-10
7600,1.2085011608226931e-10,2.3650753747648355e-10,1.9186461874186517e-10
7650,9.0843957026509856e-11,4.9396852400499621e-11,1.111077824419799e-10
7700,5.187233462582858e-11,9.4840534088371082e-11,6.2828461209477223e-11
7750,2.4459392345044462e-10,6.8934865652082269e-11,1.8705103105890265e-10
7800,1.7154318211532332e-10,1.2912064225060818e-10,7.4220656089678018e-11
7850,1.4826200232728765e-10,2.503282316372199e-10,1.3404595686517822e-10
7900,9.1399660278412735e-11,1.2019158035511614e-10,2.9978090088690588e-11
7950,2.6621238026281969e-10,1.9976362614679127e-10,1.7411313742621518e-10
8000,9.887718684009063e-11,2.0008686523335843e-10,1.4884598942400132e-10
8050,1.03864740400932e-10,1.3539083718359974e-10,4.6212769620091394e-11
8100,1.6059618301704072e-10,4.4514566825209191e-11,1.8815995933857201e-10
8150,7.8096928912552571e-11,1.242139513687569e-10,1.0846765199713727e-10
8200,1.7095701663751539e-10,1.460000578499328e-10,2.0654687461738597e-10
8250,7.3440750869802438e-11,1.3037472582721876e-10,2.0355737558057427e-10
8300,2.3422879634647164e-11,4.7793832569750832e-11,2.7504613939568989e-11
8350,7.9993163636912473e-11,3.0758234093834174e-11,1.1069760164642887e-10
8400,4.5834577357574854e-11,1.5147761893309834e-10,1.0575236129059188e-10
8450,4.7669999843074153e-11,1.2150486491052013e-10,7.3837317854305334e-11
8500,1.3539435654189472e-10,2.1034372250553441e-10,9.9925723605496975e-11
8550,1.4977675851154261e-10,1.4647792303036626e-10,1.115232772043838e-10
8600,2.1188974426869198e-10,1.4542806466077196e-10,1.3500464173548959e-10
8650,9.8643624487261654e-11,9.3847129275565328e-11,4.4195924264986701e-11
8700,9.5337823451765384e-11,7.6826198973453465e-11,1.7171930956888937e-10
8750,1.4776463713203718e-10,2.9954152840066766e-10,2.7529400994713195e-10
8800,5.6103254335567364e-11,1.0556781452365591e-10,7.1655030859605836e-11
